Node1	Node2	Association	weight_base	weight_tip
141_Xanthomonadales	130_Burkholderiales	positive	1	
141_Xanthomonadales	138_Pseudomonadales	negative	1	
141_Xanthomonadales	141_Xanthomonadales	positive	4	1
141_Xanthomonadales	148_Pedosphaerales	negative		1
141_Xanthomonadales	150_AT_rhizo	negative	1	
142_unidentified Proteobacteria	066_Chitinophagales	positive	1	1
144_Sumerlaeales	073_Oligoflexales	positive		1
144_Sumerlaeales	089_Bacillales	positive		1
144_Sumerlaeales	129_unidentified Alphaproteobacteria	negative		1
145_Chlamydiales	099_Myxococcales	positive		1
145_Chlamydiales	124_Rhizobiales	negative	1	
146_Chthoniobacterales	022_Cryptofilida	positive		1
146_Chthoniobacterales	024_Glissomonadida	positive	1	
146_Chthoniobacterales	041_Pyrinomonadales	positive		1
146_Chthoniobacterales	090_Paenibacillales	negative		1
146_Chthoniobacterales	103_Polyangiales	positive	1	
146_Chthoniobacterales	124_Rhizobiales	negative	1	
146_Chthoniobacterales	128_Sphingomonadales	positive	1	
147_Opitutales	090_Paenibacillales	positive	1	
148_Pedosphaerales	068_Sphingobacteriales	negative	1	
148_Pedosphaerales	124_Rhizobiales	positive		1
149_Verrucomicrobiales	020_Cercomonadida	negative		1
149_Verrucomicrobiales	020_Cercomonadida	positive		1
149_Verrucomicrobiales	090_Paenibacillales	positive	1	
149_Verrucomicrobiales	124_Rhizobiales	positive	1	
150_AT_rhizo	009_Sordariales	positive	1	
151_Locationcr1_base	068_Sphingobacteriales	positive	1	
151_Locationcr1_base	121_Micropepsales	negative	1	
152_Locationcr1_tip	148_Pedosphaerales	negative		1
153_Locationcr2_base	086_Babeliales	positive	1	
153_Locationcr2_base	150_AT_rhizo	positive	1	
154_Locationcr2_tip	148_Pedosphaerales	negative		1
156_Locationprim_base	068_Sphingobacteriales	negative	1	
156_Locationprim_base	148_Pedosphaerales	negative	1	
158_Locationsem_tip	089_Bacillales	positive		1
