Date;Time;T1;H1;T2;H2;ch1.12CO2;ch2.12CO2;ch2.13CO2
19.09.2021;06:09:45;17.930908;69.641113;18.00415;70.782471;436.078918;471.098999;15.381336
19.09.2021;06:09:55;17.98584;69.674683;18.022461;70.733643;435.392273;469.115265;16.678333
19.09.2021;06:10:05;17.963867;69.671631;18.022461;70.736694;435.010803;469.649323;15.762806
19.09.2021;06:10:15;17.967529;69.68689;18.037109;70.733643;436.536804;470.18338;16.373158
19.09.2021;06:10:25;17.960205;69.68689;18.007812;70.779419;435.697449;470.18338;16.907215
19.09.2021;06:10:35;17.993164;69.73877;18.022461;70.779419;436.689392;470.564941;16.602039
19.09.2021;06:10:45;17.938232;69.763184;18.037109;70.782471;435.239685;470.870117;16.830921
19.09.2021;06:10:55;17.952881;69.818115;18.022461;70.81604;436.536804;470.717529;16.907215
19.09.2021;06:11:05;17.996826;69.854736;18.015137;70.806885;436.307922;470.107086;16.754627
19.09.2021;06:11:15;17.989502;69.897461;18.011475;70.861816;436.307922;468.733795;16.754627
19.09.2021;06:11:25;17.963867;69.924927;18.040771;70.889282;435.850037;469.954498;16.678333
19.09.2021;06:11:35;17.989502;69.9646;18.007812;70.944214;435.315979;468.886383;15.8391
19.09.2021;06:11:45;17.941895;70.010376;18.044434;70.98999;436.84198;468.733795;16.907215
19.09.2021;06:11:55;17.978516;70.08667;18.040771;71.124268;436.078918;468.733795;15.8391
19.09.2021;06:12:05;17.978516;70.089722;18.015137;71.115112;436.613098;471.022705;17.059851
19.09.2021;06:12:15;17.971191;70.159912;18.029785;71.206665;436.078918;471.022705;16.373158
19.09.2021;06:12:25;17.993164;70.257568;18.015137;71.19751;436.689392;471.480469;16.754627
19.09.2021;06:12:35;17.993164;70.214844;18.015137;71.276855;436.231506;472.319702;17.288733
19.09.2021;06:12:45;18.00415;70.321655;18.029785;71.334839;436.84198;472.47229;16.983557
19.09.2021;06:12:55;17.949219;70.278931;18.018799;71.362305;434.705627;471.709351;16.449451
19.09.2021;06:13:05;17.930908;70.36438;18.051758;71.414185;436.155212;472.09082;17.44132
19.09.2021;06:13:15;17.93457;70.397949;18.022461;71.499634;437.070862;471.175293;17.059851
19.09.2021;06:13:25;17.949219;70.425415;18.037109;71.505737;434.55304;472.167114;16.373158
19.09.2021;06:13:35;17.923584;70.492554;18.048096;71.536255;436.384216;473.006439;17.059851
19.09.2021;06:13:45;17.952881;70.535278;18.044434;71.646118;436.002625;471.022705;16.067982
19.09.2021;06:13:55;17.967529;70.608521;18.022461;71.66748;436.536804;472.930145;16.983557
19.09.2021;06:14:05;17.949219;70.608521;18.011475;71.70105;435.468567;471.938232;16.830921
19.09.2021;06:14:15;17.952881;70.648193;18.044434;71.746826;435.087097;471.480469;15.991688
19.09.2021;06:14:25;17.923584;70.623779;18.029785;71.749878;435.239685;472.777466;15.991688
19.09.2021;06:14:35;17.941895;70.568848;18.037109;71.759033;435.392273;471.480469;16.754627
19.09.2021;06:14:45;17.930908;70.495605;18.018799;71.716309;436.078918;471.098999;16.144276
19.09.2021;06:14:55;17.919922;70.52002;18.037109;71.578979;437.376038;472.243408;16.830921
19.09.2021;06:15:05;17.923584;70.355225;18.029785;71.508789;435.392273;472.167114;17.059851
19.09.2021;06:15:15;17.952881;70.300293;18.029785;71.414185;436.231506;472.930145;16.830921
19.09.2021;06:15:25;17.93457;70.159912;18.018799;71.337891;437.147156;471.327881;16.754627
19.09.2021;06:15:35;17.989502;70.046997;18.022461;71.289062;435.773743;471.938232;16.296864
19.09.2021;06:15:45;17.923584;69.955444;18.00415;71.176147;437.452332;471.633057;16.373158
19.09.2021;06:15:55;17.967529;69.973755;18.022461;71.090698;436.689392;471.556763;16.296864
19.09.2021;06:16:05;17.945557;69.9646;18.029785;71.072388;435.087097;471.404175;16.754627
19.09.2021;06:16:15;17.938232;69.894409;18.018799;71.051025;435.544861;470.641235;16.754627
19.09.2021;06:16:25;17.967529;69.970703;18.037109;70.986938;435.621155;470.412262;17.059851
19.09.2021;06:16:35;17.93457;69.9646;18.037109;70.977783;435.468567;469.573029;16.907215
19.09.2021;06:16:45;17.971191;69.992065;18.033447;71.026611;436.918274;471.251587;16.296864
19.09.2021;06:16:55;17.919922;70.019531;18.022461;71.066284;435.392273;470.335968;16.830921
19.09.2021;06:17:05;17.941895;70.065308;18.033447;71.102905;436.536804;470.18338;15.991688
19.09.2021;06:17:15;17.930908;70.123291;18.040771;71.151733;436.46051;471.175293;16.830921
19.09.2021;06:17:25;17.941895;70.184326;18.040771;71.136475;436.536804;469.573029;17.059851
19.09.2021;06:17:35;17.941895;70.20874;18.033447;71.203613;436.918274;470.488647;16.754627
19.09.2021;06:17:45;17.974854;70.285034;18.033447;71.313477;436.002625;468.810089;16.907215
19.09.2021;06:17:55;17.923584;70.327759;18.015137;71.343994;435.773743;471.633057;16.983557
19.09.2021;06:18:05;17.949219;70.397949;18.007812;71.429443;436.231506;469.878204;16.067982
19.09.2021;06:18:15;17.923584;70.471191;18.037109;71.505737;435.773743;471.327881;16.296864
19.09.2021;06:18:25;17.98584;70.53833;18.037109;71.533203;436.231506;471.098999;16.373158
19.09.2021;06:18:35;17.960205;70.578003;18.015137;71.572876;436.231506;469.954498;16.067982
19.09.2021;06:18:45;17.945557;70.672607;18.029785;71.688843;437.147156;471.251587;16.907215
19.09.2021;06:18:55;17.993164;70.697021;18.033447;71.749878;435.468567;471.480469;16.907215
19.09.2021;06:19:05;17.993164;70.776367;18.022461;71.755981;435.087097;471.480469;17.288733
19.09.2021;06:19:15;17.974854;70.791626;18.033447;71.850586;436.002625;471.480469;16.907215
19.09.2021;06:19:25;17.989502;70.819092;18.037109;71.859741;435.544861;472.243408;17.517614
19.09.2021;06:19:35;18.000488;70.76416;18.029785;71.862793;436.155212;469.038971;17.44132
19.09.2021;06:19:45;17.98584;70.755005;18.033447;71.856689;436.155212;469.878204;17.059851
19.09.2021;06:19:55;17.98584;70.697021;18.022461;71.777344;436.384216;470.564941;16.754627
19.09.2021;06:20:05;17.967529;70.581055;18.007812;71.710205;434.705627;469.420441;17.288733
19.09.2021;06:20:15;18.000488;70.516968;18.011475;71.713257;436.307922;472.014526;16.678333
19.09.2021;06:20:25;17.978516;70.413208;18.029785;71.536255;435.544861;471.022705;15.915394
19.09.2021;06:20:35;17.993164;70.333862;18.018799;71.496582;437.376038;470.412262;17.365026
19.09.2021;06:20:45;17.930908;70.227051;18.018799;71.392822;435.239685;469.80191;16.22057
19.09.2021;06:20:55;17.938232;70.080566;18.018799;71.279907;437.22345;470.717529;16.983557
19.09.2021;06:21:05;17.949219;70.08667;18.018799;71.191406;436.536804;470.412262;17.975378
19.09.2021;06:21:15;17.930908;69.976807;17.982178;71.154785;436.613098;471.404175;17.44132
19.09.2021;06:21:25;17.875977;69.857788;17.982178;71.002197;434.781921;471.404175;18.051672
19.09.2021;06:21:35;17.86499;69.848633;17.982178;70.947266;436.155212;471.327881;17.593908
19.09.2021;06:21:45;17.890625;69.729614;17.98584;70.959473;436.689392;470.259674;18.433189
19.09.2021;06:21:55;17.901611;69.73877;17.963867;70.837402;436.231506;470.488647;17.44132
19.09.2021;06:22:05;17.883301;69.735718;17.98584;70.819092;435.697449;470.717529;17.365026
19.09.2021;06:22:15;17.912598;69.802856;17.927246;70.797729;436.155212;470.564941;18.051672
19.09.2021;06:22:25;17.894287;69.827271;17.949219;70.846558;437.070862;471.709351;18.662071
19.09.2021;06:22:35;17.875977;69.921875;17.93457;70.870972;436.231506;470.641235;17.517614
19.09.2021;06:22:45;17.908936;69.934082;17.945557;70.901489;435.087097;473.387909;16.678333
19.09.2021;06:22:55;17.824707;69.992065;17.938232;70.93811;436.689392;472.09082;18.280602
19.09.2021;06:23:05;17.861328;70.043945;17.949219;71.04187;436.231506;473.464203;17.975378
19.09.2021;06:23:15;17.817383;70.065308;17.945557;71.099854;437.681213;471.404175;18.433189
19.09.2021;06:23:25;17.854004;70.028687;17.945557;71.102905;435.621155;473.159027;18.204308
19.09.2021;06:23:35;17.817383;70.062256;17.919922;71.087646;436.155212;472.701172;17.82279
