Plant;Compartment;Location;Root_section;Root_type;Label;massfrac_13C_rhizo;massfrac_13C_root;massfrac_13C_rhizo_percent;massfrac_13C_root_percent
7;sphere;Seminal tip;tip;Seminal;12C;0.011903169;0.012194099;1.1903169;1.2194099
7;sphere;Seminal base;base;Seminal;12C;0.011857817;0.011991763;1.1857817;1.1991763
7;sphere;Crown 1 tip;tip;Crown 1;12C;0.011741256;0.012069284;1.1741256;1.2069284
7;sphere;Crown 1 base;base;Crown 1;12C;0.011929272;0.012609436;1.1929272;1.2609436
7;sphere;Crown 2 tip;tip;Crown 2;12C;0.011950932;0.0121554;1.1950932;1.21554
7;sphere;Crown 2 base;base;Crown 2;12C;NA;0.012046651;NA;1.2046651
7;sphere;Crown 3 tip;tip;Crown 3;12C;0.011895156;0.012219867;1.1895156;1.2219867
8;sphere;Primary tip;tip;Primary;12C;NA;0.01226952;NA;1.226952
8;sphere;Primary base;base;Primary;12C;0.012016158;0.011940086;1.2016158;1.1940086
8;sphere;Seminal tip;tip;Seminal;12C;0.011944238;0.012216958;1.1944238;1.2216958
8;sphere;Seminal base;base;Seminal;12C;0.011890971;0.012127707;1.1890971;1.2127707
8;sphere;Crown 1 tip;tip;Crown 1;12C;0.011960383;0.012235286;1.1960383;1.2235286
8;sphere;Crown 1 base;base;Crown 1;12C;0.012004988;0.012995987;1.2004988;1.2995987
8;sphere;Crown 2 tip;tip;Crown 2;12C;0.011997667;0.012286247;1.1997667;1.2286247
8;sphere;Crown 2 base;base;Crown 2;12C;0.01187115;0.012105897;1.187115;1.2105897
8;sphere;Crown 3 tip;tip;Crown 3;12C;0.011879249;0.012348562;1.1879249;1.2348562
5;rhizosphere;Bulk soil;soil;Bulk;12C;0.011698066;NA;1.1698066;NA
6;rhizosphere;Bulk soil;soil;Bulk;12C;0.011783992;NA;1.1783992;NA
7;rhizosphere;Bulk soil;soil;Bulk;12C;0.011717476;NA;1.1717476;NA
8;rhizosphere;Bulk soil;soil;Bulk;12C;0.011870047;NA;1.1870047;NA
1;rhizosphere;Bulk soil;soil;Bulk;13C;0.014332076;NA;1.4332076;NA
2;rhizosphere;Bulk soil;soil;Bulk;13C;0.012579842;NA;1.2579842;NA
4;rhizosphere;Bulk soil;soil;Bulk;13C;0.012181935;NA;1.2181935;NA
